iter	Passed	Remaining
724	5397	2047
725	5398	2037
726	5400	2027
727	5401	2018
728	5403	2008
729	5404	1999
730	5406	1989
731	5407	1979
732	5409	1970
733	5410	1960
734	5412	1951
735	5413	1941
736	5415	1932
737	5417	1923
738	5418	1913
739	5419	1904
740	5420	1894
741	5422	1885
742	5423	1876
743	5425	1866
744	5426	1857
745	5428	1848
746	5429	1839
747	5431	1829
748	5432	1820
749	5434	1811
750	5435	1802
751	5436	1792
752	5438	1783
753	5439	1774
754	5440	1765
755	5441	1756
756	5443	1747
757	5444	1738
758	5445	1729
759	5446	1720
760	5448	1711
761	5449	1702
762	5450	1693
763	5451	1684
764	5453	1675
765	5454	1666
766	5455	1657
767	5456	1648
768	5458	1639
769	5459	1630
770	5460	1621
771	5461	1613
772	5463	1604
773	5464	1595
774	5465	1586
775	5466	1578
776	5468	1569
777	5469	1560
778	5470	1551
779	5471	1543
780	5473	1534
781	5474	1526
782	5476	1517
783	5477	1509
784	5478	1500
785	5479	1492
786	5481	1483
787	5482	1474
788	5483	1466
789	5484	1457
790	5485	1449
791	5486	1441
792	5488	1432
793	5489	1424
794	5490	1415
795	5491	1407
796	5493	1399
797	5494	1390
798	5496	1382
799	5497	1374
800	5498	1366
801	5499	1357
802	5501	1349
803	5502	1341
804	5503	1333
805	5504	1324
806	5506	1316
807	5507	1308
808	5509	1300
809	5510	1292
810	5511	1284
811	5513	1276
812	5514	1268
813	5515	1260
814	5516	1252
815	5518	1244
816	5519	1236
817	5520	1228
818	5522	1220
819	5523	1212
820	5524	1204
821	5526	1196
822	5527	1188
823	5528	1180
824	5530	1173
825	5531	1165
826	5532	1157
827	5533	1149
828	5534	1141
829	5536	1133
830	5537	1126
831	5538	1118
832	5539	1110
833	5540	1102
834	5542	1095
835	5543	1087
836	5544	1079
837	5545	1072
838	5546	1064
839	5548	1056
840	5549	1049
841	5550	1041
842	5551	1033
843	5553	1026
844	5554	1018
845	5555	1011
846	5556	1003
847	5557	996
848	5558	988
849	5560	981
850	5561	973
851	5562	966
852	5564	958
853	5565	951
854	5567	944
855	5568	936
856	5569	929
857	5571	922
858	5572	914
859	5573	907
860	5574	900
861	5576	892
862	5577	885
863	5578	878
864	5580	870
865	5581	863
866	5583	856
867	5584	849
868	5585	842
869	5586	834
870	5588	827
871	5589	820
872	5590	813
873	5592	806
874	5593	799
875	5594	791
876	5595	784
877	5597	777
878	5598	770
879	5599	763
880	5600	756
881	5602	749
882	5603	742
883	5604	735
884	5606	728
885	5607	721
886	5608	714
887	5610	707
888	5611	700
889	5612	693
890	5614	686
891	5615	679
892	5616	673
893	5618	666
894	5619	659
895	5620	652
896	5622	645
897	5623	638
898	5625	631
899	5626	625
900	5628	618
901	5629	611
902	5630	604
903	5632	598
904	5633	591
905	5634	584
906	5635	577
907	5637	571
908	5638	564
909	5639	557
910	5641	551
911	5642	544
912	5644	537
913	5645	531
914	5646	524
915	5647	517
916	5649	511
917	5650	504
918	5651	498
919	5652	491
920	5653	484
921	5654	478
922	5656	471
923	5657	465
924	5658	458
925	5660	452
926	5661	445
927	5662	439
928	5664	432
929	5665	426
930	5667	420
931	5668	413
932	5670	407
933	5671	400
934	5672	394
935	5673	387
936	5674	381
937	5676	375
938	5677	368
939	5678	362
940	5679	356
941	5681	349
942	5682	343
943	5683	337
944	5685	330
945	5686	324
946	5687	318
947	5689	312
948	5690	305
949	5692	299
950	5693	293
951	5695	287
952	5696	280
953	5697	274
954	5699	268
955	5701	262
956	5702	256
957	5705	250
958	5707	244
959	5708	237
960	5710	231
961	5711	225
962	5712	219
963	5714	213
964	5715	207
965	5716	201
966	5717	195
967	5719	189
968	5720	183
969	5721	176
970	5723	170
971	5724	164
972	5725	158
973	5727	152
974	5728	146
975	5729	140
976	5731	134
977	5732	128
978	5733	122
979	5734	117
980	5750	111
981	5752	105
982	5753	99
983	5755	93
984	5756	87
985	5757	81
986	5758	75
987	5760	69
988	5761	64
989	5763	58
990	5764	52
991	5765	46
992	5766	40
993	5768	34
994	5769	28
995	5771	23
996	5772	17
997	5773	11
998	5774	5
999	5776	0
5	796
951	15468	779
952	15472	763
953	15476	746
954	15479	729
955	15482	712
956	15485	695
957	15488	679
958	15492	662
959	15495	645
960	15498	628
961	15501	612
962	15504	595
963	15507	579
964	15510	562
965	15514	546
966	15516	529
967	15520	513
968	15523	496
969	15526	480
970	15529	463
971	15533	447
972	15536	431
973	15538	414
974	15542	398
975	15544	382
976	15547	366
977	15551	349
978	15554	333
979	15557	317
980	15559	301
981	15562	285
982	15564	269
983	15566	253
984	15568	237
985	15571	221
986	15573	205
987	15575	189
988	15577	173
989	15579	157
990	15581	141
991	15583	125
992	15585	109
993	15588	94
994	15590	78
995	15592	62
996	15594	46
997	15597	31
998	15599	15
999	15601	0
5028	30
998	15038	15
999	15048	0
13892	27
998	13895	13
999	13898	0
