Date,Close/Last,Volume,Open,High,Low
08/10/2017,$9.0854,3384733,$9.7141,$9.7456,$9.0539
08/09/2017,$9.7456,2464211,$10.0599,$10.1228,$9.7141
08/08/2017,$10.1542,2354709,$10.1228,$10.3429,$10.1228
08/07/2017,$10.1228,3081208,$10.1857,$10.3429,$10.0914
08/04/2017,$10.2171,6601465,$9.8399,$10.4686,$9.7456
08/03/2017,$9.4941,5679332,$9.5569,$9.5884,$9.3054
08/02/2017,$9.5569,16888570,$9.9342,$10.0914,$9.5255
08/01/2017,$13.0779,1611343,$12.8579,$13.1408,$12.7635
07/31/2017,$12.8264,1546290,$12.9522,$13.015,$12.7321
07/28/2017,$12.8893,1347640,$12.9207,$13.0465,$12.8579
07/27/2017,$13.015,1887928,$13.298,$13.298,$12.8893
07/26/2017,$13.2351,1625200,$13.1093,$13.3294,$13.015
07/25/2017,$13.1093,1361223,$12.8893,$13.2037,$12.8893
07/24/2017,$12.8893,1575820,$12.8264,$13.0779,$12.7321
07/21/2017,$12.795,1269378,$12.9207,$13.1093,$12.6849
07/20/2017,$12.9522,2529739,$12.5435,$13.2194,$12.512
07/19/2017,$12.4806,3337808,$12.512,$12.8579,$12.4492
07/18/2017,$12.6378,3941566,$12.3863,$12.8893,$12.3863
07/17/2017,$12.3863,6242898,$13.3608,$13.3608,$12.3549
07/14/2017,$13.7695,876473,$13.8953,$13.911,$13.6909
07/13/2017,$13.9267,976252,$13.3923,$14.021,$13.3923
07/12/2017,$13.4552,1590275,$14.0839,$14.0839,$13.3608
07/11/2017,$14.021,1072669,$13.518,$14.0839,$13.518
07/10/2017,$13.518,1303600,$13.7381,$13.8324,$13.4866
07/07/2017,$13.801,1467431,$13.5809,$13.9896,$13.3608
07/06/2017,$13.6123,2055901,$14.021,$14.021,$13.4866
07/05/2017,$14.1153,1898426,$14.6183,$14.8384,$13.9896
07/03/2017,$14.5869,837052,$14.3983,$14.6812,$14.3354
06/30/2017,$14.304,2173192,$14.9013,$14.9013,$14.2411
06/29/2017,$14.8698,1035408,$15.027,$15.0899,$14.6498
06/28/2017,$15.027,1399536,$14.7755,$15.2156,$14.7755
06/27/2017,$14.6812,1159751,$14.8384,$15.0585,$14.5869
06/26/2017,$14.807,1595121,$14.7755,$14.9484,$14.6183
06/23/2017,$14.8384,2376120,$14.524,$14.9327,$14.1468
06/22/2017,$14.4926,3216683,$14.3668,$14.5083,$13.9267
06/21/2017,$14.4926,1970409,$14.807,$14.8384,$14.2097
06/20/2017,$14.8384,2578954,$15.4357,$15.4671,$14.6183
06/19/2017,$15.5615,1700236,$15.53,$15.7501,$15.48
06/16/2017,$15.4986,1816067,$15.0585,$15.53,$14.9327
06/15/2017,$15.1213,841233,$15.0899,$15.2557,$14.9484
06/14/2017,$15.2156,1109540,$15.4357,$15.4671,$15.1528
06/13/2017,$15.2471,1608716,$14.8384,$15.3414,$14.8384
06/12/2017,$14.7755,1674078,$14.7127,$14.9327,$14.5869
06/09/2017,$14.6498,1946580,$14.8384,$14.9642,$14.6183
06/08/2017,$14.8698,1598902,$14.9013,$14.9956,$14.5869
06/07/2017,$14.9327,2670199,$15.3728,$15.5929,$14.9327
06/06/2017,$15.3414,3404152,$15.5929,$15.7501,$15.0899
06/05/2017,$15.7186,3884361,$15.4986,$16.0802,$15.3728
06/02/2017,$15.5929,3992929,$14.9327,$15.6243,$14.9013
06/01/2017,$14.7441,2711005,$14.0839,$14.9642,$14.0525
05/31/2017,$14.1468,3608975,$14.6812,$14.807,$14.0525
05/30/2017,$14.6812,2393049,$15.4043,$15.4671,$14.6498
05/26/2017,$15.53,3361333,$14.7441,$15.8444,$14.6812
05/25/2017,$14.7127,2740012,$14.807,$14.9956,$14.5397
05/24/2017,$14.7755,3279352,$15.53,$15.53,$14.7441
05/23/2017,$15.4986,1325166,$15.7501,$15.9073,$15.4671
